import time: self [us] | cumulative | imported package
import time:       249 |        249 |   _io
import time:        30 |         30 |   marshal
import time:       296 |        296 |   posix
import time:       343 |        916 | _frozen_importlib_external
import time:       183 |        183 |   time
import time:       164 |        346 | zipimport
import time:        37 |         37 |     _codecs
import time:       183 |        219 |   codecs
import time:       316 |        316 |   encodings.aliases
import time:       716 |       1250 | encodings
import time:       137 |        137 | encodings.utf_8
import time:        77 |         77 | _signal
import time:        25 |         25 |     _abc
import time:       108 |        133 |   abc
import time:       102 |        234 | io
import time:        33 |         33 |       _stat
import time:        48 |         81 |     stat
import time:       566 |        566 |     _collections_abc
import time:        34 |         34 |       genericpath
import time:        50 |         84 |     posixpath
import time:       254 |        982 |   os
import time:        58 |         58 |   _sitebuiltins
import time:       499 |        499 |   _virtualenv
import time:       194 |        194 |   _distutils_hack
import time:        71 |         71 |     apport_python_hook
import time:       113 |        183 |   sitecustomize
import time:      1658 |       3571 | site
import time:       183 |        183 |           types
import time:       101 |        101 |             _operator
import time:       294 |        395 |           operator
import time:        82 |         82 |               itertools
import time:       120 |        120 |               keyword
import time:       129 |        129 |               reprlib
import time:        68 |         68 |               _collections
import time:       733 |       1131 |             collections
import time:        56 |         56 |             _functools
import time:       447 |       1633 |           functools
import time:      1004 |       3214 |         enum
import time:        49 |         49 |           _sre
import time:       246 |        246 |             re._constants
import time:       360 |        605 |           re._parser
import time:        80 |         80 |           re._casefix
import time:       341 |       1074 |         re._compiler
import time:       220 |        220 |         copyreg
import time:       407 |       4913 |       re
import time:       116 |       5028 |     fnmatch
import time:        72 |         72 |     errno
import time:       304 |        304 |     warnings
import time:       109 |        109 |     zlib
import time:       248 |        248 |       _compression
import time:       256 |        256 |       _bz2
import time:       258 |        761 |     bz2
import time:       275 |        275 |       _lzma
import time:       243 |        518 |     lzma
import time:       628 |       7417 |   shutil
import time:       128 |        128 |       __future__
import time:       256 |        256 |         collections.abc
import time:       736 |        736 |             _ast
import time:       467 |        467 |             contextlib
import time:      2099 |       3301 |           ast
import time:        44 |         44 |               _opcode
import time:       334 |        377 |             opcode
import time:       644 |       1021 |           dis
import time:       139 |        139 |             importlib
import time:        68 |        206 |           importlib.machinery
import time:       145 |        145 |               token
import time:        33 |         33 |               _tokenize
import time:       762 |        939 |             tokenize
import time:       159 |       1098 |           linecache
import time:      1731 |       7354 |         inspect
import time:        61 |         61 |           _typing
import time:      2325 |       2385 |         typing
import time:       659 |        659 |         gettext
import time:       182 |        182 |             _datetime
import time:       136 |        318 |           datetime
import time:       164 |        164 |               _weakrefset
import time:       439 |        602 |             weakref
import time:       360 |        962 |           click._compat
import time:       595 |        595 |               threading
import time:       174 |        769 |             click.globals
import time:       294 |        294 |             click.utils
import time:       524 |       1585 |           click.exceptions
import time:       767 |       3631 |         click.types
import time:       267 |        267 |         click._utils
import time:       283 |        283 |           click.parser
import time:       406 |        689 |         click.formatting
import time:       235 |        235 |         click.termui
import time:      2343 |      17815 |       click.core
import time:       314 |        314 |       click.decorators
import time:       342 |      18597 |     click
import time:        30 |      18627 |   click.exceptions
import time:       202 |        202 |   typer.colors
import time:        63 |         63 |       _wmi
import time:       484 |        547 |     platform
import time:        68 |         68 |         _locale
import time:       681 |        749 |       locale
import time:       416 |        416 |       signal
import time:        63 |         63 |       fcntl
import time:        63 |         63 |       msvcrt
import time:        26 |         26 |       _posixsubprocess
import time:        54 |         54 |       select
import time:        54 |         54 |         math
import time:       512 |        565 |       selectors
import time:       811 |       2744 |     subprocess
import time:       639 |        639 |       textwrap
import time:       570 |       1209 |     traceback
import time:       158 |        158 |         urllib
import time:      1134 |       1134 |         ipaddress
import time:       869 |       2160 |       urllib.parse
import time:        65 |         65 |         _winapi
import time:        54 |         54 |         nt
import time:        51 |         51 |         nt
import time:        59 |         59 |         nt
import time:        49 |         49 |         nt
import time:        47 |         47 |         nt
import time:        47 |         47 |         nt
import time:       168 |        536 |       ntpath
import time:      1548 |       4243 |     pathlib
import time:        60 |         60 |       _uuid
import time:       409 |        468 |     uuid
import time:       179 |        179 |     typer._types
import time:       234 |        234 |     typer._typing
import time:       126 |        126 |           importlib._abc
import time:       186 |        312 |         importlib.util
import time:       298 |        298 |         click.shell_completion
import time:       114 |        114 |             shellingham._core
import time:       136 |        250 |           shellingham
