import time: self [us] | cumulative | imported package
import time:       242 |        242 |   _io
import time:        42 |         42 |   marshal
import time:       288 |        288 |   posix
import time:       356 |        926 | _frozen_importlib_external
import time:        77 |         77 |   time
import time:       109 |        185 | zipimport
import time:       141 |        141 |     _codecs
import time:       291 |        432 |   codecs
import time:      3434 |       3434 |   encodings.aliases
import time:      2655 |       6520 | encodings
import time:       502 |        502 | encodings.utf_8
import time:        99 |         99 | _signal
import time:        23 |         23 |     _abc
import time:        90 |        112 |   abc
import time:       118 |        230 | io
import time:        82 |         82 |       _stat
import time:        66 |        148 |     stat
import time:       665 |        665 |     _collections_abc
import time:        68 |         68 |       genericpath
import time:        78 |        146 |     posixpath
import time:       273 |       1230 |   os
import time:        52 |         52 |   _sitebuiltins
import time:      2553 |       2553 |   _virtualenv
import time:       459 |        459 |   _distutils_hack
import time:        72 |         72 |     apport_python_hook
import time:       486 |        557 |   sitecustomize
import time:      3127 |       7975 | site
import time:       649 |        649 |           types
import time:       118 |        118 |             _operator
import time:      1419 |       1536 |           operator
import time:       104 |        104 |               itertools
import time:       361 |        361 |               keyword
import time:       436 |        436 |               reprlib
import time:        63 |         63 |               _collections
import time:      1424 |       2386 |             collections
import time:        49 |         49 |             _functools
import time:      1044 |       3478 |           functools
import time:      1767 |       7429 |         enum
import time:        65 |         65 |           _sre
import time:       594 |        594 |             re._constants
import time:       750 |       1343 |           re._parser
import time:       333 |        333 |           re._casefix
import time:       995 |       2734 |         re._compiler
import time:       342 |        342 |         copyreg
import time:       742 |      11246 |       re
import time:       447 |      11693 |     fnmatch
import time:        56 |         56 |     errno
import time:       554 |        554 |     warnings
import time:        93 |         93 |     zlib
import time:       477 |        477 |       _compression
import time:       842 |        842 |       _bz2
import time:       558 |       1876 |     bz2
import time:       568 |        568 |       _lzma
import time:       531 |       1099 |     lzma
import time:      1373 |      16739 |   shutil
import time:       387 |        387 |       __future__
import time:       700 |        700 |         collections.abc
import time:       831 |        831 |             _ast
import time:       847 |        847 |             contextlib
import time:      2822 |       4499 |           ast
import time:        50 |         50 |               _opcode
import time:       729 |        778 |             opcode
import time:      1037 |       1815 |           dis
import time:       375 |        375 |             importlib
import time:        71 |        446 |           importlib.machinery
import time:       408 |        408 |               token
import time:        36 |         36 |               _tokenize
import time:      1116 |       1560 |             tokenize
import time:       392 |       1951 |           linecache
import time:      2996 |      11705 |         inspect
import time:        43 |         43 |           _typing
import time:      2677 |       2719 |         typing
import time:       845 |        845 |         gettext
import time:       199 |        199 |             _datetime
import time:       393 |        592 |           datetime
import time:       637 |        637 |               _weakrefset
import time:      1346 |       1983 |             weakref
import time:      1086 |       3068 |           click._compat
import time:       970 |        970 |               threading
import time:       328 |       1297 |             click.globals
import time:       520 |        520 |             click.utils
import time:       745 |       2562 |           click.exceptions
import time:      1223 |       7442 |         click.types
import time:       517 |        517 |           click.parser
import time:       614 |       1131 |         click.formatting
import time:       476 |        476 |         click.termui
import time:      2139 |      27156 |       click.core
import time:       600 |        600 |       click.decorators
import time:       573 |      28713 |     click
import time:        22 |      28735 |   click.exceptions
import time:       533 |        533 |   typer.colors
import time:        89 |         89 |       _wmi
import time:       807 |        896 |     platform
import time:        67 |         67 |         _locale
